"Kod";"Nazwa";"Płeć";"Kraj obywatelstwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2000000;"PODLASKIE";"ogółem";"Wietnam";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Włochy";"2011";0;"osoba";"";
2200000;"POMORSKIE";"ogółem";"bezpaństwowcy";"2011";92;"osoba";"";
2200000;"POMORSKIE";"ogółem";"obywatelstwo nieustalone";"2011";662;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Armenia";"2011";130;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Austria";"2011";0;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Białoruś";"2011";208;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Francja";"2011";0;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
2200000;"POMORSKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
